CrashDate,Borough,Latitude,Longitude,ContributingFactor,CollisionID,VehicleType
2020-04-01,MANHATTAN,40.7395,-73.9766,Driver Inattention/Distraction,4305146,Ambulance
2020-04-01,QUEENS,40.738,-73.8837,Backing Unsafely,4307234,Sedan
2020-04-01,STATEN ISLAND,40.5834,-74.0898,Driver Inattention/Distraction,4305083,Sedan
2020-04-01,BROOKLYN,40.6422,-73.9163,Driver Inattention/Distraction,4307827,Station Wagon/Sport Utility Vehicle
2020-04-01,BROOKLYN,40.7081,-73.965,Passing Too Closely,4305095,Sedan
2020-04-01,BRONX,40.8194,-73.9219,Unspecified,4305103,Sedan
2020-04-01,BROOKLYN,40.6358,-73.9595,Illnes,4305148,Sedan
2020-04-01,QUEENS,40.687,-73.7921,Unspecified,4307953,Sedan
2020-04-01,QUEENS,40.6936,-73.8446,Backing Unsafely,4305123,Pick-up Truck
2020-04-01,BROOKLYN,40.6246,-73.9389,Unspecified,4307327,Pick-up Truck
2020-04-01,BROOKLYN,40.6707,-73.9042,Turning Improperly,4305158,Sedan
2020-04-01,QUEENS,40.764,-73.8089,Backing Unsafely,4305077,Sedan
2020-04-01,BROOKLYN,40.6432,-73.9013,Unspecified,4305130,Station Wagon/Sport Utility Vehicle
2020-04-01,QUEENS,40.6703,-73.7924,Traffic Control Disregarded,4305042,Sedan
2020-04-01,QUEENS,40.7259,-73.9184,Driver Inattention/Distraction,4305053,Sedan
2020-04-01,BROOKLYN,40.6921,-73.989,Driver Inattention/Distraction,4307860,Bus
2020-04-01,QUEENS,40.6946,-73.8259,Driver Inattention/Distraction,4305126,Sedan
2020-04-01,QUEENS,40.7167,-73.7692,Traffic Control Disregarded,4305028,Sedan
2020-04-01,BRONX,40.8535,-73.8894,Passing or Lane Usage Improper,4305072,Station Wagon/Sport Utility Vehicle
2020-04-01,BROOKLYN,40.6754,-73.9082,Unspecified,4308458,Station Wagon/Sport Utility Vehicle
2020-04-01,BROOKLYN,40.6343,-73.9833,Unspecified,4308629,Station Wagon/Sport Utility Vehicle
2020-04-01,QUEENS,40.7749,-73.8039,Failure to Yield Right-of-Way,4305013,Sedan
2020-04-01,BROOKLYN,40.6856,-73.9072,Driver Inattention/Distraction,4305127,Station Wagon/Sport Utility Vehicle
2020-04-01,QUEENS,40.7501,-73.9154,Driver Inattention/Distraction,4305047,Sedan
2020-04-01,QUEENS,40.7375,-73.93,Backing Unsafely,4305029,Sedan
2020-04-01,QUEENS,40.7577,-73.794,Failure to Yield Right-of-Way,4305142,Sedan
2020-04-01,BROOKLYN,40.6562,-73.9147,Unspecified,4307434,Sedan
2020-04-01,BROOKLYN,40.645,-73.92,Driver Inattention/Distraction,4307428,Sedan
2020-04-01,STATEN ISLAND,40.5118,-74.2453,Failure to Yield Right-of-Way,4308230,Sedan
