Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
BRONX,4374449,Unspecified,2020-12-07T00:00:00.000,2020-12-14 19:27:00,40.87147,"{'latitude': '40.87147', 'longitude': '-73.83057'}",-73.83057,0,0,0,0,1,0,1,0,Sedan,10475.0
QUEENS,4374434,Unspecified,2020-12-07T00:00:00.000,2020-12-14 06:00:00,40.755264,"{'latitude': '40.755264', 'longitude': '-73.88817'}",-73.88817,0,0,0,0,0,0,0,0,Taxi,11372.0
QUEENS,4372634,Unspecified,2020-12-01T00:00:00.000,2020-12-14 15:00:00,40.71949,"{'latitude': '40.71949', 'longitude': '-73.810585'}",-73.810585,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11367.0
MANHATTAN,4372547,Unspecified,2020-12-01T00:00:00.000,2020-12-14 09:05:00,40.80322,"{'latitude': '40.80322', 'longitude': '-73.95253'}",-73.95253,0,0,1,0,0,0,1,0,Taxi,10026.0
BROOKLYN,4371227,Unspecified,2020-11-28T00:00:00.000,2020-12-14 07:30:00,40.691048,"{'latitude': '40.691048', 'longitude': '-73.966415'}",-73.966415,0,0,0,0,0,0,0,0,Sedan,11205.0
BRONX,4371162,Unspecified,2020-11-27T00:00:00.000,2020-12-14 17:35:00,40.859875,"{'latitude': '40.859875', 'longitude': '-73.89323'}",-73.89323,0,0,0,0,3,0,3,0,Sedan,10458.0
QUEENS,4370434,Unspecified,2020-11-23T00:00:00.000,2020-12-14 12:00:00,40.70455,"{'latitude': '40.70455', 'longitude': '-73.87336'}",-73.87336,0,0,0,0,0,0,0,0,Van,11385.0
QUEENS,4370794,Unspecified,2020-11-21T00:00:00.000,2020-12-14 19:00:00,40.711784,"{'latitude': '40.711784', 'longitude': '-73.79'}",-73.79,0,0,0,0,1,0,1,0,,11432.0
BROOKLYN,4368782,Unspecified,2020-11-17T00:00:00.000,2020-12-14 05:35:00,40.647972,"{'latitude': '40.647972', 'longitude': '-74.0181'}",-74.0181,0,0,0,0,0,0,0,0,Sedan,11232.0
BROOKLYN,4368037,Backing Unsafely,2020-11-15T00:00:00.000,2020-12-14 12:53:00,40.681343,"{'latitude': '40.681343', 'longitude': '-73.91147'}",-73.91147,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11233.0
STATEN ISLAND,4369228,Unspecified,2020-11-13T00:00:00.000,2020-12-14 09:20:00,40.613075,"{'latitude': '40.613075', 'longitude': '-74.12257'}",-74.12257,0,0,0,0,2,0,2,0,Sedan,10314.0
BROOKLYN,4369610,Driver Inattention/Distraction,2020-11-11T00:00:00.000,2020-12-14 18:00:00,40.67732,"{'latitude': '40.67732', 'longitude': '-73.91642'}",-73.91642,0,0,0,0,0,0,0,0,Sedan,11233.0
